ParentLocationCode,ParentLocation,SpatialCode,Location,Period,Sex,Value
EUR,Europe,BIH,Bosnia and Herzegovina,2019,Female,21.56
AMR,Americas,CUB,Cuba,2019,Both sexes,21.59
EMR,Eastern Mediterranean,JOR,Jordan,2019,Male,21.56
AMR,Americas,VCT,Saint Vincent and the Grenadines,2019,Female,21.63
EUR,Europe,KGZ,Kyrgyzstan,2019,Female,21.67
EUR,Europe,UKR,Ukraine,2019,Female,21.73
EMR,Eastern Mediterranean,ARE,United Arab Emirates,2019,Female,21.69
AMR,Americas,URY,Uruguay,2019,Both sexes,21.67
AMR,Americas,VEN,Venezuela (Bolivarian Republic of),2019,Both sexes,21.69
AMR,Americas,BRB,Barbados,2019,Female,21.79
AFR,Africa,CPV,Cabo Verde,2019,Female,21.77
EUR,Europe,HRV,Croatia,2019,Both sexes,21.76
EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),2019,Both sexes,21.82
EMR,Eastern Mediterranean,JOR,Jordan,2019,Both sexes,21.81
AMR,Americas,MEX,Mexico,2019,Both sexes,21.84
AMR,Americas,PRY,Paraguay,2019,Both sexes,21.78
EUR,Europe,SVK,Slovakia,2019,Both sexes,21.81
EUR,Europe,SVN,Slovenia,2019,Male,21.84
AMR,Americas,USA,United States of America,2019,Male,21.78
EUR,Europe,ALB,Albania,2019,Female,21.94
AMR,Americas,BRA,Brazil,2019,Both sexes,21.90
EUR,Europe,DEU,Germany,2019,Male,21.87
EMR,Eastern Mediterranean,LBY,Libya,2019,Female,21.89
AMR,Americas,NIC,Nicaragua,2019,Female,21.87
AFR,Africa,DZA,Algeria,2019,Both sexes,22.04
EUR,Europe,BGR,Bulgaria,2019,Female,21.97
AMR,Americas,ECU,Ecuador,2019,Male,22.04
AFR,Africa,MUS,Mauritius,2019,Female,21.97
EUR,Europe,TUR,Türkiye,2019,Both sexes,22.03
WPR,Western Pacific,VNM,Viet Nam,2019,Female,22.03
EUR,Europe,ARM,Armenia,2019,Female,22.15
EUR,Europe,CZE,Czechia,2019,Both sexes,22.07
AMR,Americas,SLV,El Salvador,2019,Both sexes,22.12
EUR,Europe,GRC,Greece,2019,Male,22.07
EMR,Eastern Mediterranean,JOR,Jordan,2019,Female,22.07
SEAR,South-East Asia,MDV,Maldives,2019,Both sexes,22.15
EUR,Europe,POL,Poland,2019,Both sexes,22.13
EUR,Europe,PRT,Portugal,2019,Male,22.12
SEAR,South-East Asia,THA,Thailand,2019,Male,22.12
EUR,Europe,RUS,Russian Federation,2019,Female,22.19
EUR,Europe,BEL,Belgium,2019,Male,22.33
EUR,Europe,DNK,Denmark,2019,Male,22.26
EUR,Europe,HUN,Hungary,2019,Female,22.27
EUR,Europe,AUT,Austria,2019,Male,22.43
AMR,Americas,BHS,Bahamas,2019,Female,22.39
AMR,Americas,CHL,Chile,2019,Male,22.41
AMR,Americas,DOM,Dominican Republic,2019,Female,22.36
EUR,Europe,FIN,Finland,2019,Male,22.36
EMR,Eastern Mediterranean,LBN,Lebanon,2019,Female,22.40
EUR,Europe,ROU,Romania,2019,Female,22.39
EUR,Europe,BLR,Belarus,2019,Female,22.48
AMR,Americas,COL,Colombia,2019,Male,22.48
EUR,Europe,EST,Estonia,2019,Both sexes,22.53
EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),2019,Female,22.48
AFR,Africa,DZA,Algeria,2019,Female,22.62
AMR,Americas,JAM,Jamaica,2019,Female,22.63
AMR,Americas,PAN,Panama,2019,Male,22.55
SEAR,South-East Asia,LKA,Sri Lanka,2019,Female,22.63
AMR,Americas,TTO,Trinidad and Tobago,2019,Both sexes,22.72
EMR,Eastern Mediterranean,KWT,Kuwait,2019,Male,22.82
EMR,Eastern Mediterranean,TUN,Tunisia,2019,Female,22.82
AMR,Americas,BLZ,Belize,2019,Female,22.93
EUR,Europe,LUX,Luxembourg,2019,Male,22.91
AMR,Americas,LCA,Saint Lucia,2019,Female,22.91
EUR,Europe,IRL,Ireland,2019,Male,23.01
EUR,Europe,LVA,Latvia,2019,Female,22.95
EUR,Europe,MLT,Malta,2019,Male,22.99
EUR,Europe,NLD,Netherlands,2019,Male,22.96
EUR,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2019,Male,22.96
AMR,Americas,ARG,Argentina,2019,Female,23.08
WPR,Western Pacific,CHN,China,2019,Female,23.08
SEAR,South-East Asia,MDV,Maldives,2019,Female,23.05
AMR,Americas,MEX,Mexico,2019,Female,23.06
AMR,Americas,USA,United States of America,2019,Both sexes,23.13
AMR,Americas,CUB,Cuba,2019,Female,23.18
AMR,Americas,ECU,Ecuador,2019,Both sexes,23.20
EUR,Europe,TUR,Türkiye,2019,Female,23.24
EUR,Europe,CYP,Cyprus,2019,Male,23.31
EUR,Europe,FRA,France,2019,Male,23.27
EUR,Europe,ESP,Spain,2019,Male,23.28
EUR,Europe,SWE,Sweden,2019,Male,23.34
EUR,Europe,ITA,Italy,2019,Male,23.36
WPR,Western Pacific,KOR,Republic of Korea,2019,Male,23.37
AMR,Americas,BRA,Brazil,2019,Female,23.51
EUR,Europe,LTU,Lithuania,2019,Female,23.46
EUR,Europe,NOR,Norway,2019,Male,23.47
AMR,Americas,PRY,Paraguay,2019,Female,23.50
AMR,Americas,CRI,Costa Rica,2019,Male,23.58
EUR,Europe,DNK,Denmark,2019,Both sexes,23.59
AMR,Americas,SLV,El Salvador,2019,Female,23.57
EUR,Europe,ISR,Israel,2019,Male,23.62
SEAR,South-East Asia,THA,Thailand,2019,Both sexes,23.57
AMR,Americas,VEN,Venezuela (Bolivarian Republic of),2019,Female,23.60
EUR,Europe,HRV,Croatia,2019,Female,23.75
EUR,Europe,ISL,Iceland,2019,Male,23.71
AMR,Americas,PER,Peru,2019,Male,23.66
AMR,Americas,CAN,Canada,2019,Male,23.84
EUR,Europe,GRC,Greece,2019,Both sexes,23.84
WPR,Western Pacific,NZL,New Zealand,2019,Male,23.75
WPR,Western Pacific,SGP,Singapore,2019,Male,23.78
EUR,Europe,SVN,Slovenia,2019,Both sexes,23.82
WPR,Western Pacific,JPN,Japan,2019,Male,23.95
EUR,Europe,SVK,Slovakia,2019,Female,23.93
EUR,Europe,BEL,Belgium,2019,Both sexes,24.02
AMR,Americas,COL,Colombia,2019,Both sexes,23.96
EUR,Europe,CZE,Czechia,2019,Female,24.00
EMR,Eastern Mediterranean,KWT,Kuwait,2019,Both sexes,23.96
AMR,Americas,URY,Uruguay,2019,Female,23.96
EUR,Europe,AUT,Austria,2019,Both sexes,24.09
EUR,Europe,NLD,Netherlands,2019,Both sexes,24.08
EUR,Europe,CHE,Switzerland,2019,Male,24.09
EUR,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2019,Both sexes,24.13
EUR,Europe,FIN,Finland,2019,Both sexes,24.16
EUR,Europe,IRL,Ireland,2019,Both sexes,24.19
AMR,Americas,CHL,Chile,2019,Both sexes,24.27
AMR,Americas,ECU,Ecuador,2019,Female,24.31
AMR,Americas,PAN,Panama,2019,Both sexes,24.26
EUR,Europe,POL,Poland,2019,Female,24.33
EUR,Europe,PRT,Portugal,2019,Both sexes,24.34
WPR,Western Pacific,AUS,Australia,2019,Male,24.37
EUR,Europe,DEU,Germany,2019,Both sexes,24.41
EUR,Europe,LUX,Luxembourg,2019,Both sexes,24.40
AMR,Americas,PER,Peru,2019,Both sexes,24.38
AMR,Americas,USA,United States of America,2019,Female,24.38
EUR,Europe,MLT,Malta,2019,Both sexes,24.49
EUR,Europe,SWE,Sweden,2019,Both sexes,24.50
EUR,Europe,ISL,Iceland,2019,Both sexes,24.64
EUR,Europe,NOR,Norway,2019,Both sexes,24.66
WPR,Western Pacific,NZL,New Zealand,2019,Both sexes,24.83
SEAR,South-East Asia,THA,Thailand,2019,Female,24.84
EUR,Europe,CYP,Cyprus,2019,Both sexes,24.92
EUR,Europe,DNK,Denmark,2019,Female,24.85
EUR,Europe,ISR,Israel,2019,Both sexes,24.90
AMR,Americas,CRI,Costa Rica,2019,Both sexes,25.03
EUR,Europe,EST,Estonia,2019,Female,24.99
EUR,Europe,ITA,Italy,2019,Both sexes,25.04
AMR,Americas,TTO,Trinidad and Tobago,2019,Female,25.01
EUR,Europe,NLD,Netherlands,2019,Female,25.13
AMR,Americas,PER,Peru,2019,Female,25.05
AMR,Americas,CAN,Canada,2019,Both sexes,25.15
EUR,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2019,Female,25.23
AMR,Americas,COL,Colombia,2019,Female,25.27
EUR,Europe,FRA,France,2019,Both sexes,25.34
EUR,Europe,IRL,Ireland,2019,Female,25.33
EUR,Europe,ESP,Spain,2019,Both sexes,25.39
EUR,Europe,CHE,Switzerland,2019,Both sexes,25.43
EUR,Europe,GRC,Greece,2019,Female,25.52
EUR,Europe,ISL,Iceland,2019,Female,25.54
WPR,Western Pacific,SGP,Singapore,2019,Both sexes,25.54
WPR,Western Pacific,AUS,Australia,2019,Both sexes,25.62
EUR,Europe,AUT,Austria,2019,Female,25.60
EUR,Europe,BEL,Belgium,2019,Female,25.58
EUR,Europe,SVN,Slovenia,2019,Female,25.64
EUR,Europe,SWE,Sweden,2019,Female,25.59
EUR,Europe,FIN,Finland,2019,Female,25.81
EUR,Europe,LUX,Luxembourg,2019,Female,25.81
WPR,Western Pacific,NZL,New Zealand,2019,Female,25.84
EUR,Europe,NOR,Norway,2019,Female,25.76
WPR,Western Pacific,KOR,Republic of Korea,2019,Both sexes,25.80
AMR,Americas,CHL,Chile,2019,Female,25.88
EMR,Eastern Mediterranean,KWT,Kuwait,2019,Female,25.90
EUR,Europe,MLT,Malta,2019,Female,25.86
EUR,Europe,ISR,Israel,2019,Female,26.03
AMR,Americas,PAN,Panama,2019,Female,25.95
WPR,Western Pacific,JPN,Japan,2019,Both sexes,26.35
EUR,Europe,PRT,Portugal,2019,Female,26.29
AMR,Americas,CAN,Canada,2019,Female,26.38
AMR,Americas,CRI,Costa Rica,2019,Female,26.40
EUR,Europe,CYP,Cyprus,2019,Female,26.43
EUR,Europe,ITA,Italy,2019,Female,26.53
EUR,Europe,CHE,Switzerland,2019,Female,26.65
WPR,Western Pacific,AUS,Australia,2019,Female,26.83
EUR,Europe,DEU,Germany,2019,Female,26.87
EUR,Europe,FRA,France,2019,Female,27.21
WPR,Western Pacific,SGP,Singapore,2019,Female,27.22
EUR,Europe,ESP,Spain,2019,Female,27.34
WPR,Western Pacific,KOR,Republic of Korea,2019,Female,27.87
WPR,Western Pacific,JPN,Japan,2019,Female,28.56
AFR,Africa,LSO,Lesotho,2015,Male,45.07
AFR,Africa,LSO,Lesotho,2015,Both sexes,47.67
AFR,Africa,CAF,Central African Republic,2015,Male,48.19
AFR,Africa,SWZ,Eswatini,2015,Male,50.25
AFR,Africa,CAF,Central African Republic,2015,Both sexes,50.53
AFR,Africa,LSO,Lesotho,2015,Female,50.58
EMR,Eastern Mediterranean,SOM,Somalia,2015,Male,52.17
AFR,Africa,MOZ,Mozambique,2015,Male,52.42
AFR,Africa,CAF,Central African Republic,2015,Female,53.03
AFR,Africa,SWZ,Eswatini,2015,Both sexes,54.05
EMR,Eastern Mediterranean,SOM,Somalia,2015,Both sexes,54.57
WPR,Western Pacific,KIR,Kiribati,2015,Male,55.13
AFR,Africa,GNB,Guinea-Bissau,2015,Male,55.53
AFR,Africa,ZWE,Zimbabwe,2015,Male,55.73
AFR,Africa,MOZ,Mozambique,2015,Both sexes,55.95
AFR,Africa,SLE,Sierra Leone,2015,Male,55.90
AFR,Africa,TCD,Chad,2015,Male,56.22
AFR,Africa,SLE,Sierra Leone,2015,Both sexes,56.94
AFR,Africa,CMR,Cameroon,2015,Male,57.29
AFR,Africa,GIN,Guinea,2015,Male,57.28
EMR,Eastern Mediterranean,SOM,Somalia,2015,Female,57.31
AFR,Africa,BWA,Botswana,2015,Male,57.83
AFR,Africa,TCD,Chad,2015,Both sexes,57.91
AFR,Africa,SLE,Sierra Leone,2015,Female,57.93
AFR,Africa,ZMB,Zambia,2015,Male,57.93
AFR,Africa,CIV,Côte d’Ivoire,2015,Male,57.98
AFR,Africa,BFA,Burkina Faso,2015,Male,58.24
AFR,Africa,GNB,Guinea-Bissau,2015,Both sexes,58.23
WPR,Western Pacific,KIR,Kiribati,2015,Both sexes,58.20
AFR,Africa,COD,Democratic Republic of the Congo,2015,Male,58.25
AFR,Africa,ZWE,Zimbabwe,2015,Both sexes,58.48
AFR,Africa,SWZ,Eswatini,2015,Female,58.71
AFR,Africa,GIN,Guinea,2015,Both sexes,58.81
AFR,Africa,AGO,Angola,2015,Male,59.13
AFR,Africa,CMR,Cameroon,2015,Both sexes,59.11
AFR,Africa,TGO,Togo,2015,Male,59.24
AFR,Africa,ERI,Eritrea,2015,Male,59.40
AFR,Africa,MOZ,Mozambique,2015,Female,59.45
AFR,Africa,NAM,Namibia,2015,Male,59.36
AFR,Africa,TCD,Chad,2015,Female,59.63
AFR,Africa,NGA,Nigeria,2015,Male,59.59
AFR,Africa,BEN,Benin,2015,Male,59.66
AFR,Africa,MWI,Malawi,2015,Male,59.67
AFR,Africa,BDI,Burundi,2015,Male,59.84
AFR,Africa,ZAF,South Africa,2015,Male,59.82
AFR,Africa,SSD,South Sudan,2015,Male,59.80
AFR,Africa,GIN,Guinea,2015,Female,60.07
WPR,Western Pacific,FSM,Micronesia (Federated States of),2015,Male,60.14
AFR,Africa,CIV,Côte d’Ivoire,2015,Both sexes,60.20
AFR,Africa,GNQ,Equatorial Guinea,2015,Male,60.28
AFR,Africa,NER,Niger,2015,Male,60.28
AFR,Africa,COD,Democratic Republic of the Congo,2015,Both sexes,60.44
AFR,Africa,MLI,Mali,2015,Male,60.36
AFR,Africa,ZMB,Zambia,2015,Both sexes,60.50
AFR,Africa,LBR,Liberia,2015,Male,60.65
AFR,Africa,GNB,Guinea-Bissau,2015,Female,60.81
AFR,Africa,UGA,Uganda,2015,Male,60.81
AFR,Africa,BWA,Botswana,2015,Both sexes,60.93
AFR,Africa,BFA,Burkina Faso,2015,Both sexes,60.92
AFR,Africa,MLI,Mali,2015,Both sexes,60.89
EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2015,Male,60.88
EMR,Eastern Mediterranean,AFG,Afghanistan,2015,Male,61.04
AFR,Africa,CMR,Cameroon,2015,Female,60.99
AFR,Africa,ZWE,Zimbabwe,2015,Female,60.96
AFR,Africa,GNQ,Equatorial Guinea,2015,Both sexes,61.13
AFR,Africa,LBR,Liberia,2015,Both sexes,61.17
AFR,Africa,NGA,Nigeria,2015,Both sexes,61.16
WPR,Western Pacific,KIR,Kiribati,2015,Female,61.37
AFR,Africa,MLI,Mali,2015,Female,61.41
AFR,Africa,NER,Niger,2015,Both sexes,61.54
EMR,Eastern Mediterranean,AFG,Afghanistan,2015,Both sexes,61.65
AFR,Africa,AGO,Angola,2015,Both sexes,61.72
AFR,Africa,KEN,Kenya,2015,Male,61.71
AFR,Africa,LBR,Liberia,2015,Female,61.68
AFR,Africa,GNQ,Equatorial Guinea,2015,Female,61.83
AFR,Africa,TGO,Togo,2015,Both sexes,61.92
AFR,Africa,BEN,Benin,2015,Both sexes,61.96
AFR,Africa,BDI,Burundi,2015,Both sexes,62.05
AFR,Africa,GHA,Ghana,2015,Male,61.97
AFR,Africa,SSD,South Sudan,2015,Both sexes,61.99
WPR,Western Pacific,VUT,Vanuatu,2015,Male,62.02
AFR,Africa,GAB,Gabon,2015,Male,62.11
AMR,Americas,HTI,Haiti,2015,Male,62.09
AFR,Africa,GMB,Gambia,2015,Male,62.18
EMR,Eastern Mediterranean,AFG,Afghanistan,2015,Female,62.35
AFR,Africa,ERI,Eritrea,2015,Both sexes,62.29
AMR,Americas,GUY,Guyana,2015,Male,62.31
WPR,Western Pacific,SLB,Solomon Islands,2015,Male,62.34
AFR,Africa,COG,Congo,2015,Male,62.56
AMR,Americas,HTI,Haiti,2015,Both sexes,62.61
WPR,Western Pacific,PNG,Papua New Guinea,2015,Male,62.57
AFR,Africa,ZAF,South Africa,2015,Both sexes,62.57
AFR,Africa,COD,Democratic Republic of the Congo,2015,Female,62.73
WPR,Western Pacific,FSM,Micronesia (Federated States of),2015,Both sexes,62.74
EMR,Eastern Mediterranean,DJI,Djibouti,2015,Male,62.84
AFR,Africa,NGA,Nigeria,2015,Female,62.80
AFR,Africa,MDG,Madagascar,2015,Male,62.87
AFR,Africa,NAM,Namibia,2015,Both sexes,62.87
AFR,Africa,NER,Niger,2015,Female,62.86
AFR,Africa,CIV,Côte d’Ivoire,2015,Female,62.96
AFR,Africa,MWI,Malawi,2015,Both sexes,63.04
AFR,Africa,ZMB,Zambia,2015,Female,63.02
AFR,Africa,COG,Congo,2015,Both sexes,63.11
AMR,Americas,HTI,Haiti,2015,Female,63.13
EMR,Eastern Mediterranean,PAK,Pakistan,2015,Male,63.12
AFR,Africa,BFA,Burkina Faso,2015,Female,63.45
WPR,Western Pacific,MNG,Mongolia,2015,Male,63.45
AFR,Africa,TZA,United Republic of Tanzania,2015,Male,63.38
AFR,Africa,COG,Congo,2015,Female,63.59
AFR,Africa,BWA,Botswana,2015,Female,63.93
AFR,Africa,GMB,Gambia,2015,Both sexes,64.14
AFR,Africa,BEN,Benin,2015,Female,64.25
AFR,Africa,KEN,Kenya,2015,Both sexes,64.17
AFR,Africa,MDG,Madagascar,2015,Both sexes,64.19
EMR,Eastern Mediterranean,PAK,Pakistan,2015,Both sexes,64.18
AFR,Africa,BDI,Burundi,2015,Female,64.26
SEAR,South-East Asia,MMR,Myanmar,2015,Male,64.32
AFR,Africa,SSD,South Sudan,2015,Female,64.30
EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2015,Both sexes,64.40
AFR,Africa,AGO,Angola,2015,Female,64.50
AFR,Africa,GHA,Ghana,2015,Both sexes,64.55
WPR,Western Pacific,PNG,Papua New Guinea,2015,Both sexes,64.49
AFR,Africa,UGA,Uganda,2015,Both sexes,64.47
EMR,Eastern Mediterranean,DJI,Djibouti,2015,Both sexes,64.64
WPR,Western Pacific,VUT,Vanuatu,2015,Both sexes,64.64
WPR,Western Pacific,LAO,Lao People's Democratic Republic,2015,Male,64.70
WPR,Western Pacific,SLB,Solomon Islands,2015,Both sexes,64.74
AFR,Africa,TGO,Togo,2015,Female,64.83
AFR,Africa,GAB,Gabon,2015,Both sexes,64.93
AFR,Africa,ETH,Ethiopia,2015,Male,65.04
AFR,Africa,COM,Comoros,2015,Male,65.07
AFR,Africa,ZAF,South Africa,2015,Female,65.34
AFR,Africa,ERI,Eritrea,2015,Female,65.45
EMR,Eastern Mediterranean,PAK,Pakistan,2015,Female,65.36
AFR,Africa,TZA,United Republic of Tanzania,2015,Both sexes,65.36
EMR,Eastern Mediterranean,YEM,Yemen,2015,Male,65.41
AFR,Africa,MDG,Madagascar,2015,Female,65.50
AFR,Africa,RWA,Rwanda,2015,Male,65.47
AFR,Africa,SEN,Senegal,2015,Male,65.46
AMR,Americas,GUY,Guyana,2015,Both sexes,65.59
WPR,Western Pacific,FSM,Micronesia (Federated States of),2015,Female,65.66
EUR,Europe,TKM,Turkmenistan,2015,Male,65.66
WPR,Western Pacific,FJI,Fiji,2015,Male,65.77
EUR,Europe,RUS,Russian Federation,2015,Male,65.85
WPR,Western Pacific,KHM,Cambodia,2015,Male,66.20
AFR,Africa,NAM,Namibia,2015,Female,66.22
EMR,Eastern Mediterranean,SDN,Sudan,2015,Male,66.19
AFR,Africa,GMB,Gambia,2015,Female,66.28
AFR,Africa,COM,Comoros,2015,Both sexes,66.45
AFR,Africa,MWI,Malawi,2015,Female,66.47
WPR,Western Pacific,PNG,Papua New Guinea,2015,Female,66.54
EMR,Eastern Mediterranean,DJI,Djibouti,2015,Female,66.62
AFR,Africa,KEN,Kenya,2015,Female,66.62
EUR,Europe,TJK,Tajikistan,2015,Male,66.69
AFR,Africa,ETH,Ethiopia,2015,Both sexes,66.82
WPR,Western Pacific,LAO,Lao People's Democratic Republic,2015,Both sexes,67.08
WPR,Western Pacific,PHL,Philippines,2015,Male,67.13
AFR,Africa,MRT,Mauritania,2015,Male,67.19
EUR,Europe,MDA,Republic of Moldova,2015,Male,67.19
AFR,Africa,SEN,Senegal,2015,Both sexes,67.20
EUR,Europe,UKR,Ukraine,2015,Male,67.21
EMR,Eastern Mediterranean,IRQ,Iraq,2015,Male,67.32
SEAR,South-East Asia,NPL,Nepal,2015,Male,67.32
SEAR,South-East Asia,TLS,Timor-Leste,2015,Male,67.31
AFR,Africa,TZA,United Republic of Tanzania,2015,Female,67.26
AFR,Africa,GHA,Ghana,2015,Female,67.41
EUR,Europe,KAZ,Kazakhstan,2015,Male,67.43
AFR,Africa,MRT,Mauritania,2015,Both sexes,67.41
WPR,Western Pacific,SLB,Solomon Islands,2015,Female,67.41
EMR,Eastern Mediterranean,YEM,Yemen,2015,Both sexes,67.47
AMR,Americas,HND,Honduras,2015,Male,67.57
WPR,Western Pacific,MNG,Mongolia,2015,Both sexes,67.61
SEAR,South-East Asia,MMR,Myanmar,2015,Both sexes,67.58
AFR,Africa,MRT,Mauritania,2015,Female,67.69
AFR,Africa,RWA,Rwanda,2015,Both sexes,67.69
WPR,Western Pacific,VUT,Vanuatu,2015,Female,67.68
AFR,Africa,COM,Comoros,2015,Female,67.84
WPR,Western Pacific,FJI,Fiji,2015,Both sexes,67.83
AMR,Americas,GTM,Guatemala,2015,Male,67.85
EUR,Europe,AZE,Azerbaijan,2015,Male,67.94
EUR,Europe,KGZ,Kyrgyzstan,2015,Male,67.92
EMR,Eastern Mediterranean,SDN,Sudan,2015,Both sexes,67.94
AFR,Africa,STP,Sao Tome and Principe,2015,Male,68.05
AMR,Americas,SLV,El Salvador,2015,Male,68.12
AFR,Africa,GAB,Gabon,2015,Female,68.09
SEAR,South-East Asia,IND,India,2015,Male,68.11
AFR,Africa,UGA,Uganda,2015,Female,68.13
EMR,Eastern Mediterranean,EGY,Egypt,2015,Male,68.22
EUR,Europe,GEO,Georgia,2015,Male,68.24
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,2015,Male,68.42
EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2015,Female,68.37
EUR,Europe,BLR,Belarus,2015,Male,68.56
AMR,Americas,DOM,Dominican Republic,2015,Male,68.62
AFR,Africa,ETH,Ethiopia,2015,Female,68.64
WPR,Western Pacific,WSM,Samoa,2015,Male,68.68
EUR,Europe,TJK,Tajikistan,2015,Both sexes,68.66
SEAR,South-East Asia,IDN,Indonesia,2015,Male,68.77
AFR,Africa,SEN,Senegal,2015,Female,68.77
SEAR,South-East Asia,TLS,Timor-Leste,2015,Both sexes,68.87
WPR,Western Pacific,VNM,Viet Nam,2015,Male,68.88
EUR,Europe,UZB,Uzbekistan,2015,Male,68.98
EUR,Europe,LTU,Lithuania,2015,Male,69.09
EUR,Europe,TKM,Turkmenistan,2015,Both sexes,69.11
WPR,Western Pacific,KHM,Cambodia,2015,Both sexes,69.17
AMR,Americas,GUY,Guyana,2015,Female,69.22
SEAR,South-East Asia,IND,India,2015,Both sexes,69.31
SEAR,South-East Asia,NPL,Nepal,2015,Both sexes,69.43
WPR,Western Pacific,TON,Tonga,2015,Male,69.45
AMR,Americas,SUR,Suriname,2015,Male,69.50
WPR,Western Pacific,LAO,Lao People's Democratic Republic,2015,Female,69.56
AFR,Africa,STP,Sao Tome and Principe,2015,Both sexes,69.60
EMR,Eastern Mediterranean,YEM,Yemen,2015,Female,69.58
AMR,Americas,BHS,Bahamas,2015,Male,69.73
EMR,Eastern Mediterranean,SDN,Sudan,2015,Female,69.71
AMR,Americas,HND,Honduras,2015,Both sexes,69.82
AFR,Africa,RWA,Rwanda,2015,Female,69.82
EUR,Europe,LVA,Latvia,2015,Male,69.93
WPR,Western Pacific,WSM,Samoa,2015,Both sexes,70.04
AFR,Africa,SYC,Seychelles,2015,Male,69.95
WPR,Western Pacific,FJI,Fiji,2015,Female,70.08
EMR,Eastern Mediterranean,IRQ,Iraq,2015,Both sexes,70.29
WPR,Western Pacific,PHL,Philippines,2015,Both sexes,70.30
AMR,Americas,VCT,Saint Vincent and the Grenadines,2015,Male,70.30
AMR,Americas,GRD,Grenada,2015,Male,70.44
EMR,Eastern Mediterranean,EGY,Egypt,2015,Both sexes,70.49
SEAR,South-East Asia,TLS,Timor-Leste,2015,Female,70.49
AMR,Americas,BOL,Bolivia (Plurinational State of),2015,Male,70.59
SEAR,South-East Asia,IND,India,2015,Female,70.62
SEAR,South-East Asia,IDN,Indonesia,2015,Both sexes,70.61
AMR,Americas,VEN,Venezuela (Bolivarian Republic of),2015,Male,70.59
EUR,Europe,AZE,Azerbaijan,2015,Both sexes,70.67
SEAR,South-East Asia,MMR,Myanmar,2015,Female,70.70
EUR,Europe,TJK,Tajikistan,2015,Female,70.82
EUR,Europe,ARM,Armenia,2015,Male,70.88
AMR,Americas,GTM,Guatemala,2015,Both sexes,70.95
AFR,Africa,MUS,Mauritius,2015,Male,70.96
AMR,Americas,BLZ,Belize,2015,Male,71.14
SEAR,South-East Asia,BTN,Bhutan,2015,Male,71.05
EUR,Europe,MDA,Republic of Moldova,2015,Both sexes,71.13
AFR,Africa,STP,Sao Tome and Principe,2015,Female,71.12
AMR,Americas,TTO,Trinidad and Tobago,2015,Male,71.10
EUR,Europe,BGR,Bulgaria,2015,Male,71.17
EUR,Europe,ROU,Romania,2015,Male,71.28
EUR,Europe,RUS,Russian Federation,2015,Both sexes,71.30
EMR,Eastern Mediterranean,MAR,Morocco,2015,Male,71.37
SEAR,South-East Asia,NPL,Nepal,2015,Female,71.39
EMR,Eastern Mediterranean,OMN,Oman,2015,Male,71.40
EUR,Europe,UZB,Uzbekistan,2015,Both sexes,71.45
AMR,Americas,BOL,Bolivia (Plurinational State of),2015,Both sexes,71.52
WPR,Western Pacific,WSM,Samoa,2015,Female,71.49
EUR,Europe,KGZ,Kyrgyzstan,2015,Both sexes,71.59
AMR,Americas,BRA,Brazil,2015,Male,71.67
EUR,Europe,MKD,The former Yugoslav Republic of Macedonia,2015,Male,71.67
EMR,Eastern Mediterranean,SAU,Saudi Arabia,2015,Male,71.73
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,2015,Both sexes,71.76
AMR,Americas,DOM,Dominican Republic,2015,Both sexes,71.75
AMR,Americas,NIC,Nicaragua,2015,Male,71.83
AMR,Americas,LCA,Saint Lucia,2015,Male,71.82
WPR,Western Pacific,KHM,Cambodia,2015,Female,71.89
EUR,Europe,KAZ,Kazakhstan,2015,Both sexes,71.91
AMR,Americas,HND,Honduras,2015,Female,72.13
WPR,Western Pacific,MNG,Mongolia,2015,Female,72.13
SEAR,South-East Asia,BTN,Bhutan,2015,Both sexes,72.15
AFR,Africa,CPV,Cabo Verde,2015,Male,72.18
EUR,Europe,HUN,Hungary,2015,Male,72.16
EUR,Europe,UKR,Ukraine,2015,Both sexes,72.20
WPR,Western Pacific,TON,Tonga,2015,Both sexes,72.33
EMR,Eastern Mediterranean,LBY,Libya,2015,Male,72.39
SEAR,South-East Asia,BGD,Bangladesh,2015,Male,72.50
AMR,Americas,BOL,Bolivia (Plurinational State of),2015,Female,72.45
SEAR,South-East Asia,IDN,Indonesia,2015,Female,72.50
EMR,Eastern Mediterranean,MAR,Morocco,2015,Both sexes,72.46
EMR,Eastern Mediterranean,OMN,Oman,2015,Both sexes,72.52
AMR,Americas,VCT,Saint Vincent and the Grenadines,2015,Both sexes,72.47
EUR,Europe,GEO,Georgia,2015,Both sexes,72.58
AMR,Americas,SUR,Suriname,2015,Both sexes,72.60
EUR,Europe,TKM,Turkmenistan,2015,Female,72.57
AMR,Americas,GRD,Grenada,2015,Both sexes,72.70
EUR,Europe,SRB,Serbia,2015,Male,72.69
EUR,Europe,MNE,Montenegro,2015,Male,72.83
