ParentLocationCode,ParentLocation,SpatialCode,Location,Period,Sex,Value
AFR,Africa,NGA,Nigeria,2019,Female,64.10
AFR,Africa,TGO,Togo,2019,Both sexes,64.27
EMR,Eastern Mediterranean,YEM,Yemen,2019,Male,64.41
AFR,Africa,CMR,Cameroon,2019,Female,64.50
AFR,Africa,NAM,Namibia,2019,Both sexes,64.58
AFR,Africa,NER,Niger,2019,Female,64.56
EMR,Eastern Mediterranean,PAK,Pakistan,2019,Male,64.59
AFR,Africa,COG,Congo,2019,Both sexes,64.74
AFR,Africa,COD,Democratic Republic of the Congo,2019,Female,64.82
AMR,Americas,HTI,Haiti,2019,Female,64.76
AFR,Africa,SSD,South Sudan,2019,Female,64.84
AFR,Africa,LBR,Liberia,2019,Female,65.00
AFR,Africa,BFA,Burkina Faso,2019,Female,65.23
WPR,Western Pacific,SLB,Solomon Islands,2019,Both sexes,65.25
AFR,Africa,MDG,Madagascar,2019,Both sexes,65.35
WPR,Western Pacific,PNG,Papua New Guinea,2019,Both sexes,65.30
AFR,Africa,ZAF,South Africa,2019,Both sexes,65.25
WPR,Western Pacific,VUT,Vanuatu,2019,Both sexes,65.31
AFR,Africa,TZA,United Republic of Tanzania,2019,Male,65.37
AFR,Africa,ZMB,Zambia,2019,Female,65.37
AFR,Africa,AGO,Angola,2019,Female,65.52
AFR,Africa,BWA,Botswana,2019,Female,65.46
AFR,Africa,GMB,Gambia,2019,Both sexes,65.47
AFR,Africa,COG,Congo,2019,Female,65.61
AFR,Africa,MWI,Malawi,2019,Both sexes,65.62
EMR,Eastern Mediterranean,PAK,Pakistan,2019,Both sexes,65.61
AFR,Africa,BEN,Benin,2019,Female,65.66
AMR,Americas,GUY,Guyana,2019,Both sexes,65.69
AFR,Africa,CIV,Côte d’Ivoire,2019,Female,65.81
EMR,Eastern Mediterranean,DJI,Djibouti,2019,Both sexes,65.81
AFR,Africa,COM,Comoros,2019,Male,65.92
WPR,Western Pacific,FJI,Fiji,2019,Male,65.93
SEAR,South-East Asia,MMR,Myanmar,2019,Male,65.91
WPR,Western Pacific,FSM,Micronesia (Federated States of),2019,Female,66.05
AFR,Africa,BDI,Burundi,2019,Female,66.14
AFR,Africa,KEN,Kenya,2019,Both sexes,66.09
WPR,Western Pacific,LAO,Lao People's Democratic Republic,2019,Male,66.19
AFR,Africa,GHA,Ghana,2019,Both sexes,66.28
AFR,Africa,GAB,Gabon,2019,Both sexes,66.47
EUR,Europe,TKM,Turkmenistan,2019,Male,66.48
AFR,Africa,MDG,Madagascar,2019,Female,66.60
EMR,Eastern Mediterranean,YEM,Yemen,2019,Both sexes,66.63
EMR,Eastern Mediterranean,PAK,Pakistan,2019,Female,66.72
AFR,Africa,UGA,Uganda,2019,Both sexes,66.69
AFR,Africa,SEN,Senegal,2019,Male,66.82
AFR,Africa,ETH,Ethiopia,2019,Male,66.90
AFR,Africa,RWA,Rwanda,2019,Male,66.88
AFR,Africa,ERI,Eritrea,2019,Female,67.07
WPR,Western Pacific,KHM,Cambodia,2019,Male,67.23
AFR,Africa,TGO,Togo,2019,Female,67.23
AFR,Africa,TZA,United Republic of Tanzania,2019,Both sexes,67.34
AFR,Africa,COM,Comoros,2019,Both sexes,67.39
WPR,Western Pacific,PNG,Papua New Guinea,2019,Female,67.36
WPR,Western Pacific,PHL,Philippines,2019,Male,67.40
EMR,Eastern Mediterranean,SDN,Sudan,2019,Male,67.55
EUR,Europe,TJK,Tajikistan,2019,Male,67.58
AFR,Africa,GMB,Gambia,2019,Female,67.65
EMR,Eastern Mediterranean,DJI,Djibouti,2019,Female,67.78
WPR,Western Pacific,SLB,Solomon Islands,2019,Female,67.87
SEAR,South-East Asia,TLS,Timor-Leste,2019,Male,67.93
WPR,Western Pacific,FJI,Fiji,2019,Both sexes,68.01
EUR,Europe,UKR,Ukraine,2019,Male,68.00
AFR,Africa,MRT,Mauritania,2019,Male,68.08
WPR,Western Pacific,MNG,Mongolia,2019,Both sexes,68.10
EUR,Europe,RUS,Russian Federation,2019,Male,68.18
AFR,Africa,ZAF,South Africa,2019,Female,68.29
WPR,Western Pacific,VUT,Vanuatu,2019,Female,68.32
AFR,Africa,KEN,Kenya,2019,Female,68.44
AFR,Africa,MRT,Mauritania,2019,Both sexes,68.38
AFR,Africa,NAM,Namibia,2019,Female,68.45
WPR,Western Pacific,LAO,Lao People's Democratic Republic,2019,Both sexes,68.51
AMR,Americas,SUR,Suriname,2019,Male,68.50
AFR,Africa,SEN,Senegal,2019,Both sexes,68.58
AFR,Africa,ETH,Ethiopia,2019,Both sexes,68.70
AFR,Africa,MRT,Mauritania,2019,Female,68.73
EUR,Europe,AZE,Azerbaijan,2019,Male,68.78
EUR,Europe,GEO,Georgia,2019,Male,68.79
AFR,Africa,STP,Sao Tome and Principe,2019,Male,68.79
AFR,Africa,COM,Comoros,2019,Female,68.88
AFR,Africa,MWI,Malawi,2019,Female,68.93
SEAR,South-East Asia,NPL,Nepal,2019,Male,68.88
EMR,Eastern Mediterranean,YEM,Yemen,2019,Female,68.92
AMR,Americas,GTM,Guatemala,2019,Male,68.95
SEAR,South-East Asia,MMR,Myanmar,2019,Both sexes,69.13
AFR,Africa,RWA,Rwanda,2019,Both sexes,69.10
EMR,Eastern Mediterranean,SDN,Sudan,2019,Both sexes,69.15
AFR,Africa,GHA,Ghana,2019,Female,69.16
WPR,Western Pacific,WSM,Samoa,2019,Male,69.16
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,2019,Male,69.29
EUR,Europe,MDA,Republic of Moldova,2019,Male,69.26
AFR,Africa,TZA,United Republic of Tanzania,2019,Female,69.26
AMR,Americas,GUY,Guyana,2019,Female,69.39
SEAR,South-East Asia,IDN,Indonesia,2019,Male,69.40
SEAR,South-East Asia,IND,India,2019,Male,69.52
EUR,Europe,TJK,Tajikistan,2019,Both sexes,69.50
EMR,Eastern Mediterranean,EGY,Egypt,2019,Male,69.59
SEAR,South-East Asia,TLS,Timor-Leste,2019,Both sexes,69.62
WPR,Western Pacific,VNM,Viet Nam,2019,Male,69.56
EUR,Europe,BLR,Belarus,2019,Male,69.65
AFR,Africa,GAB,Gabon,2019,Female,69.73
EUR,Europe,TKM,Turkmenistan,2019,Both sexes,69.75
AMR,Americas,DOM,Dominican Republic,2019,Male,69.76
WPR,Western Pacific,TON,Tonga,2019,Male,69.81
AMR,Americas,BHS,Bahamas,2019,Male,69.85
AFR,Africa,CPV,Cabo Verde,2019,Male,69.90
EMR,Eastern Mediterranean,IRQ,Iraq,2019,Male,69.93
AMR,Americas,VEN,Venezuela (Bolivarian Republic of),2019,Male,69.91
EUR,Europe,KAZ,Kazakhstan,2019,Male,69.98
AFR,Africa,SYC,Seychelles,2019,Male,69.98
WPR,Western Pacific,KHM,Cambodia,2019,Both sexes,70.12
AFR,Africa,SEN,Senegal,2019,Female,70.14
AFR,Africa,UGA,Uganda,2019,Female,70.10
WPR,Western Pacific,FJI,Fiji,2019,Female,70.28
WPR,Western Pacific,PHL,Philippines,2019,Both sexes,70.43
AFR,Africa,STP,Sao Tome and Principe,2019,Both sexes,70.42
AFR,Africa,ETH,Ethiopia,2019,Female,70.52
WPR,Western Pacific,WSM,Samoa,2019,Both sexes,70.45
AMR,Americas,SLV,El Salvador,2019,Male,70.58
AMR,Americas,GRD,Grenada,2019,Male,70.63
EUR,Europe,LVA,Latvia,2019,Male,70.58
AMR,Americas,HND,Honduras,2019,Male,70.67
EUR,Europe,KGZ,Kyrgyzstan,2019,Male,70.75
SEAR,South-East Asia,IND,India,2019,Both sexes,70.79
EMR,Eastern Mediterranean,SDN,Sudan,2019,Female,70.76
EUR,Europe,UZB,Uzbekistan,2019,Male,70.76
WPR,Western Pacific,LAO,Lao People's Democratic Republic,2019,Female,70.95
SEAR,South-East Asia,NPL,Nepal,2019,Both sexes,70.88
AFR,Africa,MUS,Mauritius,2019,Male,70.95
AMR,Americas,BOL,Bolivia (Plurinational State of),2019,Male,71.15
EUR,Europe,LTU,Lithuania,2019,Male,71.23
AFR,Africa,RWA,Rwanda,2019,Female,71.24
EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2019,Male,71.18
SEAR,South-East Asia,IDN,Indonesia,2019,Both sexes,71.31
AMR,Americas,LCA,Saint Lucia,2019,Male,71.30
AMR,Americas,VCT,Saint Vincent and the Grenadines,2019,Male,71.32
EUR,Europe,AZE,Azerbaijan,2019,Both sexes,71.43
AMR,Americas,BLZ,Belize,2019,Male,71.36
SEAR,South-East Asia,TLS,Timor-Leste,2019,Female,71.41
AMR,Americas,SUR,Suriname,2019,Both sexes,71.48
EUR,Europe,TJK,Tajikistan,2019,Female,71.55
EUR,Europe,BGR,Bulgaria,2019,Male,71.65
EMR,Eastern Mediterranean,MAR,Morocco,2019,Male,71.68
EMR,Eastern Mediterranean,EGY,Egypt,2019,Both sexes,71.82
WPR,Western Pacific,WSM,Samoa,2019,Female,71.85
AMR,Americas,HND,Honduras,2019,Both sexes,71.94
SEAR,South-East Asia,BTN,Bhutan,2019,Male,72.03
AMR,Americas,GTM,Guatemala,2019,Both sexes,72.02
EUR,Europe,ROU,Romania,2019,Male,71.95
AFR,Africa,STP,Sao Tome and Principe,2019,Female,71.99
AMR,Americas,BOL,Bolivia (Plurinational State of),2019,Both sexes,72.14
AMR,Americas,NIC,Nicaragua,2019,Male,72.07
SEAR,South-East Asia,IND,India,2019,Female,72.17
SEAR,South-East Asia,MMR,Myanmar,2019,Female,72.20
AMR,Americas,BRA,Brazil,2019,Male,72.45
EMR,Eastern Mediterranean,IRQ,Iraq,2019,Both sexes,72.42
EUR,Europe,ARM,Armenia,2019,Male,72.49
AMR,Americas,TTO,Trinidad and Tobago,2019,Male,72.54
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,2019,Both sexes,72.63
WPR,Western Pacific,MYS,Malaysia,2019,Male,72.61
WPR,Western Pacific,TON,Tonga,2019,Both sexes,72.57
WPR,Western Pacific,KHM,Cambodia,2019,Female,72.75
SEAR,South-East Asia,NPL,Nepal,2019,Female,72.75
EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2019,Both sexes,72.67
AMR,Americas,DOM,Dominican Republic,2019,Both sexes,72.84
WPR,Western Pacific,MNG,Mongolia,2019,Female,72.76
EUR,Europe,MKD,The former Yugoslav Republic of Macedonia,2019,Male,72.84
AMR,Americas,GRD,Grenada,2019,Both sexes,72.88
SEAR,South-East Asia,BGD,Bangladesh,2019,Male,72.99
EMR,Eastern Mediterranean,MAR,Morocco,2019,Both sexes,72.99
EMR,Eastern Mediterranean,OMN,Oman,2019,Male,72.97
EUR,Europe,TKM,Turkmenistan,2019,Female,72.97
EUR,Europe,UKR,Ukraine,2019,Both sexes,73.02
EUR,Europe,UZB,Uzbekistan,2019,Both sexes,73.01
SEAR,South-East Asia,BTN,Bhutan,2019,Both sexes,73.11
AMR,Americas,BOL,Bolivia (Plurinational State of),2019,Female,73.13
EUR,Europe,HUN,Hungary,2019,Male,73.09
AMR,Americas,MEX,Mexico,2019,Male,73.13
AMR,Americas,PRY,Paraguay,2019,Male,73.08
EMR,Eastern Mediterranean,SAU,Saudi Arabia,2019,Male,73.11
AMR,Americas,BHS,Bahamas,2019,Both sexes,73.21
AMR,Americas,HND,Honduras,2019,Female,73.16
EUR,Europe,MNE,Montenegro,2019,Male,73.15
EUR,Europe,RUS,Russian Federation,2019,Both sexes,73.23
AMR,Americas,VCT,Saint Vincent and the Grenadines,2019,Both sexes,73.22
EUR,Europe,GEO,Georgia,2019,Both sexes,73.28
SEAR,South-East Asia,IDN,Indonesia,2019,Female,73.30
EUR,Europe,MDA,Republic of Moldova,2019,Both sexes,73.26
AFR,Africa,SYC,Seychelles,2019,Both sexes,73.34
WPR,Western Pacific,BRN,Brunei Darussalam,2019,Male,73.39
AMR,Americas,ARG,Argentina,2019,Male,73.51
EUR,Europe,SRB,Serbia,2019,Male,73.46
AMR,Americas,URY,Uruguay,2019,Male,73.48
WPR,Western Pacific,PHL,Philippines,2019,Female,73.60
WPR,Western Pacific,VNM,Viet Nam,2019,Both sexes,73.74
SEAR,South-East Asia,LKA,Sri Lanka,2019,Male,73.80
EMR,Eastern Mediterranean,OMN,Oman,2019,Both sexes,73.90
AMR,Americas,VEN,Venezuela (Bolivarian Republic of),2019,Both sexes,73.95
AFR,Africa,CPV,Cabo Verde,2019,Both sexes,74.03
EUR,Europe,KAZ,Kazakhstan,2019,Both sexes,73.95
EMR,Eastern Mediterranean,LBN,Lebanon,2019,Male,74.03
EUR,Europe,AZE,Azerbaijan,2019,Female,74.09
EMR,Eastern Mediterranean,EGY,Egypt,2019,Female,74.14
AFR,Africa,MUS,Mauritius,2019,Both sexes,74.07
EUR,Europe,KGZ,Kyrgyzstan,2019,Both sexes,74.18
EMR,Eastern Mediterranean,LBY,Libya,2019,Male,74.21
SEAR,South-East Asia,BGD,Bangladesh,2019,Both sexes,74.25
AMR,Americas,BRB,Barbados,2019,Male,74.32
WPR,Western Pacific,BRN,Brunei Darussalam,2019,Both sexes,74.32
EMR,Eastern Mediterranean,MAR,Morocco,2019,Female,74.31
AMR,Americas,LCA,Saint Lucia,2019,Both sexes,74.33
EMR,Eastern Mediterranean,SAU,Saudi Arabia,2019,Both sexes,74.31
EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2019,Female,74.26
AMR,Americas,BLZ,Belize,2019,Both sexes,74.41
SEAR,South-East Asia,BTN,Bhutan,2019,Female,74.39
EUR,Europe,BIH,Bosnia and Herzegovina,2019,Male,74.38
AMR,Americas,JAM,Jamaica,2019,Male,74.36
SEAR,South-East Asia,THA,Thailand,2019,Male,74.36
EUR,Europe,POL,Poland,2019,Male,74.53
AMR,Americas,SUR,Suriname,2019,Female,74.63
WPR,Western Pacific,CHN,China,2019,Male,74.73
EUR,Europe,EST,Estonia,2019,Male,74.70
WPR,Western Pacific,MYS,Malaysia,2019,Both sexes,74.72
EUR,Europe,BLR,Belarus,2019,Both sexes,74.81
EUR,Europe,MKD,The former Yugoslav Republic of Macedonia,2019,Both sexes,74.82
EUR,Europe,SVK,Slovakia,2019,Male,74.84
AMR,Americas,ATG,Antigua and Barbuda,2019,Male,74.88
EMR,Eastern Mediterranean,TUN,Tunisia,2019,Male,74.88
EMR,Eastern Mediterranean,BHR,Bahrain,2019,Male,75.04
AMR,Americas,SLV,El Salvador,2019,Both sexes,75.03
AMR,Americas,GTM,Guatemala,2019,Female,75.04
EMR,Eastern Mediterranean,IRQ,Iraq,2019,Female,74.97
AMR,Americas,NIC,Nicaragua,2019,Both sexes,75.04
EUR,Europe,BGR,Bulgaria,2019,Both sexes,75.07
EMR,Eastern Mediterranean,ARE,United Arab Emirates,2019,Male,75.10
EUR,Europe,UZB,Uzbekistan,2019,Female,75.21
AMR,Americas,GRD,Grenada,2019,Female,75.33
EMR,Eastern Mediterranean,OMN,Oman,2019,Female,75.26
AMR,Americas,VCT,Saint Vincent and the Grenadines,2019,Female,75.32
WPR,Western Pacific,BRN,Brunei Darussalam,2019,Female,75.36
AMR,Americas,CUB,Cuba,2019,Male,75.37
EUR,Europe,LVA,Latvia,2019,Both sexes,75.38
EUR,Europe,HRV,Croatia,2019,Male,75.54
SEAR,South-East Asia,BGD,Bangladesh,2019,Female,75.64
EUR,Europe,ROU,Romania,2019,Both sexes,75.57
WPR,Western Pacific,TON,Tonga,2019,Female,75.61
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,2019,Female,75.69
EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),2019,Male,75.69
EMR,Eastern Mediterranean,BHR,Bahrain,2019,Both sexes,75.81
EMR,Eastern Mediterranean,LBY,Libya,2019,Both sexes,75.78
AMR,Americas,PRY,Paraguay,2019,Both sexes,75.81
AMR,Americas,BRA,Brazil,2019,Both sexes,75.90
EUR,Europe,MNE,Montenegro,2019,Both sexes,75.88
EUR,Europe,SRB,Serbia,2019,Both sexes,75.87
EUR,Europe,ARM,Armenia,2019,Both sexes,76.03
AMR,Americas,BRB,Barbados,2019,Both sexes,76.03
AMR,Americas,JAM,Jamaica,2019,Both sexes,75.98
